income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
81367,103,2,32,0,4
44817,83,23,89,0,2
58508,69,32,11,0,1
45259,138,1,27,0,4
30817,88,25,43,0,1
0,72,3,65,0,1
40870,105,3,56,0,2
35001,96,18,87,3,1
49937,64,1,45,0,2
0,109,35,75,0,1
58317,73,0,56,0,2
0,109,15,61,0,7
17101,113,1,88,0,2
0,118,14,64,0,4
0,65,24,53,0,3
24398,63,14,79,1,3
24641,61,16,57,0,1
69040,108,4,88,0,1
17101,113,1,88,0,2
59886,104,30,1,0,4
14290,271,20,40,0,1
43137,96,8,41,0,8
27978,69,3,21,1,7
25261,118,31,9,0,1
58652,64,14,75,5,1
28321,111,34,32,0,1
0,69,35,79,0,2
0,72,20,12,0,6
0,88,17,25,0,6
94415,127,6,53,1,1
0,103,4,67,0,2
45331,100,0,8,0,2
53904,67,1,17,2,1
0,74,18,58,0,2
0,70,11,36,2,7
0,67,20,38,0,8
28142,105,18,50,0,1
74422,85,4,3,1,3
35095,73,25,56,0,2
55588,114,15,40,0,2
52391,71,9,32,0,3
42240,79,25,10,0,2
70146,96,28,65,0,1
41121,94,20,56,0,2
71210,214,8,89,1,2
0,107,34,70,1,1
41228,71,19,13,0,1
40598,91,35,98,0,5
0,91,28,59,0,1
51790,71,12,43,0,1
92593,68,4,53,0,1
28657,100,4,55,0,2
30262,98,0,96,1,9
47197,81,19,91,0,2
0,94,25,20,0,6
0,61,2,15,0,2
0,134,22,68,0,1
22093,87,15,8,0,9
54483,61,6,57,0,1
18944,63,20,64,0,1
84365,66,14,42,0,2
0,64,20,13,0,4
25147,101,7,54,0,1
14315,71,33,16,0,1
87864,94,19,42,0,8
57844,85,16,31,1,2
17913,116,0,39,0,1
28806,99,35,75,0,2
90343,175,11,68,0,3
79041,199,14,48,0,3
99845,110,23,25,1,8
85019,167,26,92,0,1
70059,194,1,97,0,1
70503,164,11,11,1,2
0,117,9,78,0,1
39492,105,20,81,0,1
0,68,9,34,0,1
50405,70,6,21,1,9
96021,68,5,30,0,5
0,65,26,97,0,1
0,105,13,22,0,1
65794,69,10,14,1,1
21975,95,28,63,0,1
0,126,19,17,0,4
56649,125,12,8,0,1
0,181,22,96,0,2
92296,69,4,65,0,1
39448,103,10,14,3,5
71794,131,19,48,0,1
21861,69,3,11,0,1
31591,72,17,65,4,1
60662,68,10,38,0,2
20608,73,10,24,0,1
21331,103,18,84,0,2
0,66,16,19,1,2
90783,104,0,38,2,2
36631,62,30,77,0,1
0,87,15,46,0,6
26030,139,25,29,1,2
0,70,6,24,0,6
0,113,14,77,0,1
25302,70,13,16,1,2
16483,90,14,68,0,9
0,82,29,92,0,2
73222,180,24,43,0,3
22061,74,25,25,0,8
86321,66,7,25,0,1
54668,68,3,41,1,6
0,62,15,80,0,3
69497,142,30,31,0,2
86617,63,9,10,0,1
22705,239,19,59,0,7
20836,79,25,2,0,9
88410,99,30,31,0,1
0,69,26,33,0,9
21073,106,25,54,1,3
0,66,16,77,0,2
66429,136,35,93,0,1
66889,80,6,16,0,1
36088,72,16,31,0,9
75217,61,12,47,1,2
0,68,8,9,0,2
17557,96,6,5,0,1
81064,70,20,4,4,3
0,66,2,45,0,5
75313,89,16,64,1,2
45703,98,17,36,0,9
40036,65,2,85,0,2
0,71,23,84,0,1
65870,61,21,40,1,2
91469,100,11,89,2,2
42090,119,0,61,0,3
21368,79,7,2,0,6
78362,73,16,66,0,2
33879,98,16,82,0,2
72874,70,26,31,0,6
0,82,29,23,1,2
0,110,9,23,0,6
72215,66,22,23,0,2
39854,66,6,4,0,7
36655,61,15,81,0,9
37995,139,16,50,0,1
40867,112,21,98,0,7
28804,78,6,84,0,3
48409,124,13,60,0,2
19683,117,17,41,1,9
88706,110,14,72,1,2
89689,74,14,4,0,2
67241,68,22,6,1,9
75436,78,10,20,0,2
91761,109,33,20,2,1
25771,222,21,58,0,4
60920,64,10,61,0,2
96869,101,25,97,0,3
17752,77,26,87,0,1
60944,130,10,38,2,4
22081,84,1,9,0,6
73695,84,28,84,0,1
0,130,11,0,0,1
95697,61,16,55,0,1
15300,85,17,16,0,9
0,131,34,61,0,9
12902,139,3,51,0,1
29809,61,13,17,0,9
0,74,17,27,0,2
0,96,21,18,0,3
25998,71,16,38,0,2
28248,90,25,89,0,1
68103,82,28,91,0,1
0,103,33,54,0,3
81079,111,11,5,0,1
22732,62,31,35,0,1
49825,70,14,27,3,2
0,103,11,92,0,1
77265,107,23,9,0,1
0,72,20,41,0,7
12876,107,8,90,2,3
36431,99,27,59,0,2
25927,103,6,20,0,1
26811,72,22,82,0,3
41711,90,3,89,0,1
35091,74,27,19,0,9
0,87,17,33,0,3
22081,84,1,9,0,6
0,93,7,90,1,5
31320,72,30,95,0,5
0,153,25,5,0,1
33947,66,10,48,1,1
0,62,10,31,0,2
21189,66,4,2,0,2
73759,114,2,25,3,6
0,114,3,93,0,1
44988,108,30,57,0,3
33432,90,28,43,0,2
46503,215,4,21,1,1
0,101,12,12,0,6
23636,65,19,10,0,3
66429,136,35,93,0,1
28466,102,33,91,0,1
58082,112,31,66,1,1
36523,71,28,67,0,2
54710,103,13,46,0,2
73466,102,2,71,1,6
51643,283,16,43,0,1
83846,74,22,94,3,2
0,169,31,77,0,1
53338,63,24,35,1,1
75203,80,0,13,1,2
60475,107,9,18,0,1
30658,89,6,67,0,2
0,102,28,11,0,1
60420,248,8,74,0,8
0,65,9,31,0,2
62739,70,29,80,0,3
15144,90,2,71,0,1
44428,104,17,61,0,2
58297,97,19,94,5,1
42191,74,2,43,1,2
26057,74,3,63,0,2
26608,73,12,14,0,6
0,63,8,27,0,9
66429,136,35,93,0,1
25970,72,18,30,3,2
48268,223,28,26,0,2
24279,126,16,97,0,2
0,121,11,92,0,5
0,128,30,26,0,5
71879,64,1,64,0,2
57760,78,9,67,0,3
20976,129,20,86,1,1
67137,111,0,49,5,6
50148,65,0,45,0,1
23008,79,29,49,1,1
0,82,12,67,0,1
84869,85,5,65,0,4
0,66,21,67,0,1
86860,107,13,29,0,1
44695,79,14,51,2,2
0,77,35,38,0,1
23046,65,18,7,3,2
0,73,1,44,0,4
84811,111,27,38,0,2
0,91,13,89,0,4
0,69,29,35,0,1
40117,108,6,55,0,2
72140,87,22,66,2,1
0,136,5,46,0,1
12495,65,32,62,0,1
0,67,33,75,2,1
0,72,4,72,0,7
36495,133,14,97,1,3
86801,98,5,20,0,2
52679,62,21,3,0,4
90804,113,29,67,0,5
22404,70,0,62,1,4
14262,90,27,9,0,1
36844,73,10,11,0,1
58703,127,32,26,2,6
65162,86,11,59,0,1
54964,99,13,53,0,1
61401,69,8,77,0,3
25147,101,7,54,0,1
73536,67,29,27,0,6
24860,73,2,35,0,8
65404,99,16,79,0,1
34510,81,0,54,0,1
0,108,7,55,0,1
40113,67,2,43,3,5
20993,133,35,90,0,1
0,61,2,34,1,1
83846,74,22,94,3,2
62587,86,30,47,0,2
0,69,17,10,0,2
73345,107,7,62,0,1
0,83,30,44,0,1
22705,239,19,59,0,7
21440,135,7,19,0,1
22627,67,19,43,0,8
38702,101,7,32,3,3
26790,71,4,41,0,1
64859,96,24,11,0,8
0,61,31,15,0,1
69263,81,8,12,2,1
82655,66,8,93,0,1
29401,65,30,56,0,4
0,79,5,62,0,7
26480,63,13,17,0,3
0,61,34,35,1,1
0,83,12,21,0,5
73268,84,18,18,0,1
95579,67,19,78,0,2
42142,112,1,8,0,3
26676,112,7,96,0,1
41279,115,1,30,0,2
15529,273,1,64,0,9
0,128,4,24,0,6
23170,71,21,67,0,1
17343,63,9,92,0,5
25854,68,24,37,0,9
46900,66,13,59,0,1
64125,108,3,44,0,3
85355,71,34,47,2,2
21604,79,14,28,0,1
0,107,0,62,0,2
53998,78,5,38,5,8
0,73,9,94,0,2
68776,80,28,78,0,1
45039,96,27,94,0,2
27658,68,4,75,0,2
64113,117,24,32,0,2
41829,76,11,41,0,2
21514,62,0,59,0,2
27722,69,3,29,0,9
21506,151,11,42,0,4
10312,78,10,63,0,1
73054,106,34,36,1,2
73775,67,14,51,0,3
44788,61,6,48,0,2
22510,95,19,48,0,2
54613,213,29,62,0,5
25965,65,23,27,0,1
34911,105,6,31,1,1
78618,66,7,56,0,1
61080,66,7,41,2,9
60415,62,10,31,0,5
25143,66,34,38,0,1
41045,64,9,28,1,2
97729,95,18,21,0,1
55702,61,13,55,0,6
93272,95,3,54,0,1
23665,67,19,50,0,2
20228,101,3,43,1,2
38713,66,31,69,4,6
23815,73,4,47,0,2
0,93,15,31,3,1
47221,99,8,79,0,1
34495,113,27,29,0,2
46264,62,17,75,0,1
46051,63,16,34,0,1
23975,128,8,39,0,1
0,74,4,12,4,2
78561,74,7,50,0,1
0,90,4,63,0,7
61402,63,14,56,2,1
65090,71,28,3,0,1
88495,108,2,83,0,1
52797,104,14,13,1,2
31278,92,24,95,4,1
24177,92,4,37,1,2
96339,68,1,44,0,1
68164,119,27,37,2,6
0,71,17,57,0,5
21603,68,11,46,2,1
0,63,11,20,0,2
0,70,5,33,1,7
34990,65,23,73,0,1
22849,109,5,75,0,4
32893,63,13,14,0,1
0,73,24,15,0,1
0,111,7,25,0,3
26876,76,17,72,0,8
71663,74,23,22,0,2
0,69,1,56,0,1
16994,112,25,12,0,8
64270,117,12,58,0,1
0,83,4,3,0,3
0,145,29,70,0,1
56342,69,12,89,0,1
0,70,25,21,0,6
28327,185,29,26,0,3
95697,61,16,55,0,1
26876,76,17,72,0,8
0,102,17,91,0,2
0,61,31,43,0,2
32918,84,33,69,0,3
0,71,4,76,0,2
63127,74,35,17,1,1
22022,136,35,1,0,2
51725,138,9,16,1,2
79090,107,2,74,0,3
39719,131,1,57,0,3
58194,84,26,23,0,2
61990,72,21,47,0,9
41479,94,14,38,1,1
97899,95,29,73,3,7
63878,113,32,47,0,9
68671,70,30,49,0,6
0,102,19,13,0,3
34640,117,23,54,2,1
21959,71,0,69,0,1
51584,69,11,98,2,2
65744,62,9,77,0,1
25198,118,26,36,0,4
79663,69,14,39,0,1
31071,111,0,57,2,1
39452,131,6,54,0,1
25813,61,16,97,0,8
59965,131,7,54,0,7
0,63,23,90,0,1
98701,94,22,66,0,3
0,121,5,94,0,8
64388,68,9,46,0,2
66841,62,4,73,0,1
33738,74,6,50,1,1
43334,95,3,72,2,1
0,91,13,89,0,1
83431,84,13,33,0,1
57647,94,3,99,0,1
0,79,17,4,0,3
38210,69,25,41,0,3
0,67,28,72,0,2
49734,69,3,41,0,2
97131,64,5,80,0,6
11689,117,7,46,0,1
17120,125,14,95,0,1
82157,188,5,33,0,1
63297,82,1,33,0,1
66014,102,34,11,0,2
98121,67,22,49,0,1
93495,129,8,0,0,9
89382,112,2,61,0,3
97742,132,6,52,0,1
0,114,29,96,0,2
0,73,30,8,0,1
77153,99,3,27,1,5
94590,81,26,31,0,2
74163,108,14,63,0,1
40450,287,8,20,3,7
0,71,8,30,0,8
0,99,12,77,0,4
33243,85,13,19,0,1
0,64,25,80,0,1
0,114,33,55,0,2
20228,101,3,43,1,2
92801,100,24,23,0,1
0,69,7,45,1,2
36845,74,14,33,0,1
0,63,28,82,0,2
72330,81,2,50,2,1
19352,65,16,0,0,1
0,62,13,6,5,2
25073,79,3,84,0,2
20261,72,4,55,0,1
66851,92,10,70,2,2
43860,65,15,58,0,1
0,180,21,68,0,1
48019,64,15,94,0,2
28786,71,30,69,1,1
22283,65,16,93,0,1
34133,111,0,72,0,7
60880,119,25,89,0,2
0,196,5,59,2,1
48115,192,15,67,0,5
32017,62,9,10,2,7
58518,136,17,9,0,3
61542,67,33,83,0,6
56761,73,31,80,1,1
22976,66,19,33,0,4
0,72,14,29,0,2
0,62,8,98,0,2
0,66,20,53,0,2
44428,104,17,61,0,2
52361,102,13,78,0,1
32435,297,24,68,0,1
40272,86,8,64,0,1
30492,61,32,68,0,2
51524,244,6,30,0,3
36635,63,20,28,0,1
83389,65,5,57,0,3
63035,153,20,97,0,2
61638,82,3,55,2,1
21073,106,25,54,1,3
0,68,19,2,3,2
0,82,26,12,0,9
0,74,23,64,0,2
86811,102,19,22,0,5
72517,82,33,27,0,2
0,77,2,71,0,9
84424,66,18,71,0,9
43383,109,7,60,0,8
96306,95,12,17,1,6
0,61,18,15,0,8
65134,112,28,48,0,1
94125,109,33,21,0,2
39778,112,23,49,0,2
0,101,3,32,0,1
91871,102,5,3,0,2
54000,66,15,45,0,1
57709,125,10,26,0,1
81132,107,19,52,0,1
22926,93,1,99,0,2
0,72,15,91,2,2
69205,110,20,56,0,6
78011,138,14,42,0,3
32931,62,16,45,0,1
99517,109,2,93,0,3
59665,62,33,3,1,1
28082,64,9,63,0,1
91099,107,14,37,0,3
28013,91,16,13,0,1
55478,71,7,1,0,2
22568,88,31,63,0,6
0,112,11,3,0,1
39335,201,0,11,0,2
0,66,0,10,0,1
0,72,12,70,0,3
58842,110,6,74,0,1
0,69,15,73,0,2
0,102,11,90,0,5
70037,70,6,61,0,1
0,62,19,75,0,3
59847,192,28,62,0,1
26630,118,19,27,0,8
48039,68,4,37,0,1
0,92,2,38,0,1
0,137,18,50,0,1
0,118,18,91,0,1
88891,89,17,56,0,3
36537,85,19,4,0,2
0,115,18,80,1,3
53603,132,30,1,1,1
0,80,14,17,0,9
92374,107,16,9,1,3
39658,66,32,53,0,7
0,116,0,35,0,7
0,70,0,86,0,3
0,65,1,60,0,1
50755,91,21,25,0,1
93383,62,31,64,0,1
0,73,11,56,0,5
50607,137,15,0,0,9
72302,66,6,27,0,1
0,149,16,70,0,2
0,146,20,14,0,4
60920,64,10,61,0,2
0,105,4,98,0,6
55674,66,10,95,0,3
0,189,28,90,0,5
25317,71,15,97,0,1
42983,86,28,18,0,1
26802,66,7,43,1,5
0,97,27,96,0,2
53808,88,26,91,0,7
93403,73,18,32,0,1
26435,111,32,50,1,1
0,68,21,69,0,7
39854,66,6,4,0,7
0,161,0,94,0,3
91368,71,13,95,0,1
0,115,11,63,0,8
92850,104,3,28,1,2
0,113,0,9,3,2
30915,72,1,6,2,2
48927,72,1,51,0,9
0,86,30,32,0,2
61108,89,22,93,0,2
48015,110,24,57,0,1
0,61,8,78,0,9
57587,68,4,83,0,7
70301,67,7,43,0,7
81119,196,3,67,0,3
65724,70,13,66,0,2
53351,119,4,7,0,6
56146,119,0,91,0,1
84658,62,21,93,0,1
33257,72,15,14,1,4
25965,65,23,27,0,1
31115,92,21,20,0,3
78487,117,5,17,0,2
92472,65,0,3,0,3
0,64,9,17,0,2
25472,73,5,86,0,9
60475,107,9,18,0,1
26577,79,9,40,0,7
0,71,27,81,0,5
43461,64,24,47,0,6
0,94,2,61,0,6
69085,113,10,14,0,1
0,84,1,94,0,5
42526,86,12,71,0,1
0,77,11,36,0,6
0,110,35,78,1,1
0,106,10,32,0,1
58361,95,17,16,0,2
74092,67,17,72,0,3
0,64,2,52,0,1
73168,70,21,50,0,3
22853,87,16,89,0,1
0,125,6,44,0,1
12075,94,16,23,0,5
62464,109,23,45,0,4
22520,73,17,64,0,3
35012,72,0,50,0,6
95140,126,6,52,0,2
82477,90,1,69,0,1
85871,92,4,25,1,1
71592,72,15,18,0,2
70446,65,31,99,0,9
24314,235,20,60,0,1
79751,63,15,67,0,1
83318,72,21,58,0,3
26161,109,8,70,0,1
30473,72,20,35,0,1
50472,87,6,67,0,3
94186,64,20,50,0,3
47611,69,17,65,0,4
0,103,17,56,0,4
91245,69,16,50,0,2
45944,83,20,4,0,1
59649,69,33,71,1,8
52785,61,2,90,0,1
59648,66,20,72,0,2
93272,95,3,54,0,1
22134,72,13,81,0,3
69050,67,17,38,0,3
87798,71,18,73,0,1
0,63,0,66,0,1
43811,117,24,10,0,4
0,91,25,63,0,3
92456,95,8,3,0,4
59207,116,23,21,0,2
64519,69,6,29,1,1
11432,119,11,9,0,2
0,80,6,28,0,2
32607,111,27,79,1,8
26444,196,4,14,0,1
39381,74,6,55,1,7
0,83,21,67,0,8
90217,66,14,88,1,5
24248,70,33,82,3,1
99368,113,34,6,0,3
68189,82,10,17,1,2
32370,130,31,84,0,2
34990,65,23,73,0,1
25714,67,17,57,0,5
61091,95,17,64,0,8
88184,104,5,97,3,2
60252,65,10,8,0,1
80985,67,0,52,0,1
36088,72,16,31,0,9
99845,110,23,25,1,8
29822,61,17,44,0,2
40803,71,8,19,3,2
71134,98,21,95,3,8
36088,72,16,31,0,9
29431,103,29,35,0,2
68073,114,16,63,0,8
17937,65,1,27,0,2
23376,78,19,18,0,1
21986,63,1,9,0,1
23032,89,30,22,0,7
32114,104,22,50,0,1
13330,117,33,74,0,1
44934,61,9,60,0,4
96137,73,17,34,2,1
40864,109,16,70,1,1
22668,67,5,34,1,2
90751,82,2,22,1,8
44186,64,9,96,2,2
92678,70,0,67,0,3
74257,76,16,91,0,3
99981,71,2,22,0,1
0,91,26,89,0,6
19591,74,8,79,0,4
29095,127,2,80,0,1
0,62,25,15,0,1
60880,119,25,89,0,2
61785,61,31,47,0,5
44428,104,17,61,0,2
95697,107,29,29,0,9
18064,63,10,45,2,1
74720,70,15,99,0,3
22594,67,22,41,0,3
40987,73,6,15,0,1
24561,126,1,31,0,2
76456,83,27,34,1,2
65828,62,22,3,0,1
0,68,0,48,1,5
63621,70,8,48,0,5
10074,107,33,42,0,1
78965,183,3,78,0,2
0,68,16,57,0,2
23604,64,4,86,0,8
99205,68,7,21,0,1
0,92,4,60,0,3
0,66,6,71,2,1
55350,67,0,13,0,9
21052,111,12,55,0,5
0,69,5,64,0,2
24664,69,12,15,0,2
45225,124,15,83,0,1
30430,86,6,77,0,2
35149,64,26,33,0,1
16513,71,23,37,0,6
10892,66,16,9,0,3
37995,139,16,50,0,1
54704,113,6,75,0,1
25381,71,22,62,0,2
0,74,5,75,0,1
18150,67,17,34,0,2
29735,69,3,92,0,1
77156,73,30,39,0,7
88782,78,6,38,0,1
51489,139,14,10,0,1
16972,125,17,89,0,5
99359,95,16,19,0,9
58289,62,18,92,4,1
45173,268,20,57,0,2
93246,78,31,24,0,2
43758,171,16,29,0,1
75651,81,23,60,0,2
0,67,13,91,0,2
36938,70,32,31,0,3
50843,82,12,65,0,3
21907,62,6,47,0,3
77846,119,8,45,0,1
20228,101,3,43,1,2
97030,76,14,24,0,2
80864,182,5,30,0,1
48197,106,10,61,0,6
70837,73,7,19,4,3
85297,93,7,91,0,2
70177,115,12,34,0,8
52499,138,0,61,0,2
63143,71,31,85,0,3
97361,73,6,85,0,2
50052,130,6,50,0,1
11612,71,20,92,0,5
78115,65,1,12,0,4
81947,71,12,78,0,2
44698,211,0,88,4,1
26876,66,12,53,0,2
69841,192,0,66,0,7
97768,72,22,14,0,2
0,187,6,12,0,1
89057,98,17,90,0,2
50217,74,18,2,0,9
0,71,3,33,0,3
0,68,13,26,0,2
38500,99,26,49,1,1
62018,71,21,0,0,1
0,65,13,84,0,1
57394,106,8,11,0,3
23530,65,22,34,0,2
48887,95,26,25,0,1
68867,129,19,91,0,1
12062,63,3,42,0,2
59230,107,11,56,0,5
59586,72,6,70,0,3
57506,102,24,43,0,1
25134,67,3,0,0,6
0,61,3,58,0,5
0,61,19,44,0,1
0,100,15,96,1,1
44901,70,15,56,2,2
0,93,21,8,0,3
28463,113,0,45,2,7
13037,124,28,49,0,1
82320,99,4,2,1,2
0,104,9,58,0,7
78460,64,3,93,0,4
0,92,26,11,4,1
46922,64,34,12,0,3
60689,74,29,67,0,7
0,71,3,38,0,3
61108,89,22,93,0,2
98003,107,4,46,0,7
0,74,30,37,0,2
22081,84,1,9,0,6
83006,235,8,61,1,2
38713,66,31,69,4,6
28700,68,2,65,3,1
61552,115,1,95,0,2
56718,113,7,95,1,1
66776,71,11,45,0,2
58268,67,12,82,0,2
0,68,22,43,0,1
12608,66,23,72,1,3
63499,73,21,79,0,1
36247,96,35,29,0,7
30228,73,28,44,0,5
0,74,19,4,0,1
0,116,3,97,0,3
99364,121,3,37,0,5
23665,67,19,50,0,2
0,94,7,4,0,2
69247,61,12,64,1,3
56047,92,26,29,0,5
28919,73,11,76,0,5
0,70,5,29,0,4
0,83,8,78,0,4
69900,64,23,68,0,2
55687,276,33,91,0,1
78294,92,6,35,0,3
46896,62,9,33,1,4
0,62,26,62,0,3
0,168,11,46,0,1
0,104,25,33,3,1
21385,127,14,37,0,1
87128,97,26,45,0,3
35434,66,19,26,0,2
29462,107,28,23,1,1
53243,102,26,96,3,2
21006,139,14,9,1,1
0,65,24,93,0,9
36088,72,16,31,0,9
28948,131,7,57,0,3
24417,185,22,25,0,1
67099,69,11,24,0,6
97830,96,3,61,0,2
0,101,15,90,0,2
93558,67,19,5,0,1
37384,99,9,17,0,1
28227,62,14,24,0,2
51008,74,5,95,0,2
78185,61,23,54,0,1
0,74,35,2,0,3
0,68,34,68,0,4
97205,100,22,40,2,2
0,101,28,34,0,6
26225,72,18,25,1,7
20545,70,23,86,0,2
0,83,20,32,0,1
35503,67,14,95,0,1
58988,118,3,76,0,2
0,74,16,89,1,2
0,64,21,5,0,1
0,66,16,35,4,1
67197,111,2,9,0,2
39032,198,31,15,0,7
0,68,19,2,3,2
34927,70,5,2,0,1
30817,88,25,43,0,1
31535,70,27,46,0,1
23376,78,19,18,0,1
46244,62,8,3,0,2
34886,84,3,40,0,5
0,66,27,51,0,1
62935,141,29,27,0,7
24164,137,2,40,0,5
0,87,6,3,0,1
0,68,20,66,1,2
40153,61,1,99,0,2
0,104,12,7,0,3
97131,64,5,80,0,6
23712,106,2,12,0,1
0,64,26,72,0,2
33171,65,27,17,0,3
0,83,18,90,1,2
0,68,24,73,0,1
60228,112,23,28,1,2
27072,93,24,27,0,8
26057,74,3,63,0,2
66331,107,0,74,0,1
66030,69,33,19,1,1
59768,71,6,93,1,3
45106,73,22,21,0,2
78435,130,11,19,0,4
0,63,31,99,1,1
79507,70,7,17,3,1
44986,101,14,83,0,3
25899,79,10,11,0,8
13610,74,7,64,0,1
0,65,11,15,0,2
77362,70,14,25,0,1
96443,102,1,17,0,1
0,135,2,41,1,1
90778,76,31,29,0,7
0,65,11,62,0,1
78494,79,6,40,0,1
83497,69,28,15,0,1
58842,110,6,74,0,1
63935,87,20,63,0,6
0,96,5,35,0,1
0,69,1,79,0,4
0,77,20,89,0,9
62258,65,14,17,0,5
0,80,10,81,0,1
58516,98,14,75,0,2
23285,65,30,22,0,7
56901,104,29,82,0,1
0,61,12,75,1,2
99443,117,6,6,4,5
0,113,4,70,0,4
88246,77,3,27,1,1
0,242,1,34,0,2
64801,64,23,19,0,2
57029,68,24,97,0,2
28045,99,7,99,0,2
44661,101,2,1,0,1
21246,83,19,51,0,1
31278,92,24,95,4,1
74454,71,25,29,0,3
62474,63,20,63,0,5
0,130,9,43,0,2
20647,63,17,10,0,7
33806,89,32,59,0,2
0,70,9,96,0,2
0,111,13,55,0,2
19589,127,26,44,0,1
22338,67,9,37,1,9
66839,154,33,24,0,1
99428,64,16,25,1,5
31364,74,28,47,0,3
15340,121,12,47,0,2
36225,123,7,84,0,8
0,107,18,79,0,2
0,61,5,21,0,1
77601,71,27,48,0,6
74243,84,34,2,0,2
46707,133,7,9,0,8
0,116,6,63,0,1
50234,101,12,1,0,2
75526,103,26,68,1,2
0,193,30,38,0,7
28343,69,19,88,0,8
74948,64,23,43,0,8
22728,116,28,81,0,1
0,99,14,48,2,9
17331,117,13,39,0,6
35133,102,2,31,0,2
63147,64,1,91,0,4
67575,91,27,85,0,2
0,111,29,76,0,1
48315,71,34,56,0,2
34337,113,20,44,0,9
33818,72,6,34,4,3
22439,98,30,63,0,1
79055,186,32,24,1,1
45191,69,18,34,0,1
41990,66,23,19,0,1
50979,61,25,45,1,1
59888,106,6,14,0,3
20978,98,19,96,1,1
32807,73,10,10,0,1
58414,210,7,24,2,1
50071,71,3,32,0,1
67796,69,7,24,4,8
90750,170,30,47,0,1
0,125,6,61,0,2
69387,71,16,37,0,3
29084,71,14,59,1,3
60214,100,8,16,1,4
96018,122,8,60,0,3
20128,70,28,10,2,2
60233,116,29,63,0,2
52920,93,18,95,0,3
90310,104,9,39,0,1
58414,210,7,24,2,1
99790,64,24,8,0,2
21159,73,35,14,0,2
79699,65,24,12,0,1
68236,114,2,75,0,6
59207,116,23,21,0,2
21499,135,34,28,1,3
77563,143,35,58,0,1
33415,78,15,44,0,1
20179,133,29,0,1,5
50147,101,4,37,0,3
22492,85,34,88,0,7
0,99,25,57,5,2
93715,102,9,43,2,4
23540,103,30,23,2,1
25370,102,10,77,0,2
68771,96,10,70,0,2
0,73,35,52,3,5
68562,108,29,52,0,2
36733,71,21,28,0,2
45768,73,33,27,0,1
0,64,34,47,0,7
63513,70,13,76,0,2
58161,68,19,19,0,5
83640,70,20,13,0,4
0,96,2,88,0,1
0,111,35,68,0,1
0,104,13,29,0,1
0,66,8,11,0,1
25820,82,10,69,0,1
0,121,16,64,0,1
30366,101,25,13,2,3
51789,70,8,34,0,1
0,125,6,61,0,2
18608,71,13,24,0,1
83758,64,27,34,0,1
22886,65,9,81,0,3
11828,90,18,84,0,2
44762,62,14,11,0,6
0,175,12,60,0,1
82664,114,24,10,3,9
0,108,7,57,0,1
0,63,1,21,0,2
84978,72,12,51,1,2
24164,137,2,40,0,5
0,80,5,10,0,8
62777,67,34,32,0,1
19864,63,22,96,0,1
44428,104,17,61,0,2
21139,113,15,93,0,5
0,88,4,52,0,2
11896,69,29,57,0,5
0,73,35,87,1,1
27972,61,7,38,0,1
0,62,26,98,0,1
38399,106,12,6,0,2
20868,63,19,13,0,8
49682,101,30,49,0,3
79090,107,2,74,0,3
81850,132,1,75,0,1
22906,76,17,27,0,8
0,83,15,85,1,1
37138,83,12,1,2,9
0,71,32,35,0,2
21024,82,32,8,1,9
0,103,25,80,0,9
77135,84,3,37,3,8
0,109,3,19,0,2
0,114,3,70,0,1
72845,108,13,28,0,2
51622,74,29,32,0,1
0,61,25,79,0,2
15616,114,20,96,1,2
0,82,31,25,0,8
23091,96,28,90,5,5
0,67,7,8,3,3
22699,74,11,76,4,2
14072,71,13,3,0,2
81713,74,0,41,0,2
56516,199,26,46,0,2
0,73,21,31,0,3
26747,61,11,44,0,3
63422,66,8,68,0,1
22081,84,1,9,0,6
0,180,14,70,0,4
29698,83,17,89,2,1
24518,74,23,62,0,3
62873,81,0,41,0,1
28377,94,26,99,0,3
21102,100,0,81,0,2
0,65,12,57,2,1
0,88,2,43,0,3
81410,119,8,86,0,7
27869,67,18,59,0,2
57449,103,6,28,0,2
40901,74,2,36,0,1
88701,99,7,4,0,1
29365,137,14,78,0,7
0,82,26,33,0,3
0,103,9,72,0,2
56455,73,17,5,2,8
35095,73,25,56,0,2
0,155,9,62,1,8
94903,94,3,38,0,1
80192,67,22,24,0,7
0,122,15,11,0,2
60244,83,3,72,3,1
52735,65,21,19,0,2
78275,72,12,36,0,2
77282,102,8,54,0,3
21604,79,14,28,0,1
51962,125,8,2,4,1
0,68,4,67,0,9
56362,197,30,47,1,6
85753,66,23,14,1,8
36167,76,9,79,3,1
68568,223,5,28,1,6
35482,129,21,59,0,3
92079,65,12,68,1,2
0,77,0,84,0,3
0,165,29,6,2,1
34558,113,32,24,0,1
14775,69,11,44,0,5
35637,68,13,11,0,9
66726,97,3,60,1,7
0,72,29,86,0,1
0,96,25,71,0,6
79719,71,12,87,0,6
25632,63,27,52,0,7
61108,89,22,93,0,2
0,137,34,77,0,4
21073,106,25,54,1,3
17932,79,8,38,0,2
81082,73,5,85,0,4
71684,66,7,17,0,1
57338,61,8,48,0,1
0,102,35,48,0,2
24409,62,4,13,0,1
83488,90,14,20,0,3
0,104,29,7,0,2
62537,71,19,64,1,1
10621,67,28,22,0,5
43478,80,27,79,0,9
46503,215,4,21,1,1
27179,66,8,91,0,9
