,effective_to_date,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
1722,2011-01-14,34990,65,23,73,0,1,42.689135
1723,2011-01-31,25714,67,17,57,0,5,321.6
1724,2011-01-19,61091,95,17,64,0,8,409.868003
1725,2011-01-12,88184,104,5,97,3,2,240.176533
1726,2011-01-05,60252,65,10,8,0,1,182.436205
1727,2011-01-13,80985,67,0,52,0,1,124.933587
1728,2011-01-19,36088,72,16,31,0,9,345.6
1729,2011-01-10,99845,110,23,25,1,8,528.0
1730,2011-01-19,29822,61,17,44,0,2,292.8
1731,2011-02-14,40803,71,8,19,3,2,122.912377
1732,2011-01-05,71134,98,21,95,3,8,196.37368
1733,2011-01-19,36088,72,16,31,0,9,345.6
1734,2011-01-16,29431,103,29,35,0,2,237.896227
1735,2011-02-02,68073,114,16,63,0,8,547.2
1736,2011-01-19,17937,65,1,27,0,2,312.0
1737,2011-01-03,23376,78,19,18,0,1,374.4
1738,2011-01-27,21986,63,1,9,0,1,333.696228
1739,2011-02-18,23032,89,30,22,0,7,427.2
1740,2011-02-19,32114,104,22,50,0,1,445.29049
1741,2011-02-11,13330,117,33,74,0,1,561.6
1742,2011-01-19,44934,61,9,60,0,4,357.926979
1743,2011-02-05,96137,73,17,34,2,1,67.490616
1744,2011-02-26,40864,109,16,70,1,1,166.937747
1745,2011-02-23,22668,67,5,34,1,2,33.718553
1746,2011-02-07,90751,82,2,22,1,8,315.826382
1747,2011-01-15,44186,64,9,96,2,2,295.04969
1748,2011-01-29,92678,70,0,67,0,3,34.689611
1749,2011-01-05,74257,76,16,91,0,3,214.586742
1750,2011-02-18,99981,71,2,22,0,1,204.872273
1751,2011-01-02,0,91,26,89,0,6,655.2
1752,2011-01-22,19591,74,8,79,0,4,95.925021
1753,2011-01-20,29095,127,2,80,0,1,664.280864
1754,2011-01-19,0,62,25,15,0,1,389.750793
1755,2011-01-26,60880,119,25,89,0,2,109.906628
1756,2011-01-18,61785,61,31,47,0,5,271.10697
1757,2011-02-10,44428,104,17,61,0,2,499.2
1758,2011-02-17,95697,107,29,29,0,9,178.006524
1759,2011-02-24,18064,63,10,45,2,1,182.964184
1760,2011-02-10,74720,70,15,99,0,3,200.812425
1761,2011-01-25,22594,67,22,41,0,3,321.6
1762,2011-02-09,40987,73,6,15,0,1,329.013275
1763,2011-02-19,24561,126,1,31,0,2,853.473552
1764,2011-02-12,76456,83,27,34,1,2,42.693918
1765,2011-01-21,65828,62,22,3,0,1,297.6
1766,2011-02-04,0,68,0,48,1,5,489.6
1767,2011-02-15,63621,70,8,48,0,5,444.620265
1768,2011-01-05,10074,107,33,42,0,1,108.995934
1769,2011-02-05,78965,183,3,78,0,2,145.587985
1770,2011-01-05,0,68,16,57,0,2,479.028818
1771,2011-01-22,23604,64,4,86,0,8,460.8
1772,2011-02-14,99205,68,7,21,0,1,323.246017
1773,2011-01-03,0,92,4,60,0,3,441.6
1774,2011-01-10,0,66,6,71,2,1,433.160284
1775,2011-02-24,55350,67,0,13,0,9,321.6
1776,2011-02-26,21052,111,12,55,0,5,453.578343
1777,2011-01-19,0,69,5,64,0,2,496.8
1778,2011-01-20,24664,69,12,15,0,2,496.8
1779,2011-01-27,45225,124,15,83,0,1,209.176923
1780,2011-01-13,30430,86,6,77,0,2,425.662574
1781,2011-02-02,35149,64,26,33,0,1,120.477298
1782,2011-02-04,16513,71,23,37,0,6,340.8
1783,2011-01-27,10892,66,16,9,0,3,316.8
1784,2011-01-27,37995,139,16,50,0,1,667.2
1785,2011-02-24,54704,113,6,75,0,1,468.176056
1786,2011-02-13,25381,71,22,62,0,2,340.8
1787,2011-02-19,0,74,5,75,0,1,355.2
1788,2011-01-09,18150,67,17,34,0,2,220.304649
1789,2011-02-09,29735,69,3,92,0,1,331.2
1790,2011-02-04,77156,73,30,39,0,7,445.817914
1791,2011-02-05,88782,78,6,38,0,1,357.757645
1792,2011-02-21,51489,139,14,10,0,1,236.739322
1793,2011-02-02,16972,125,17,89,0,5,600.0
1794,2011-01-15,99359,95,16,19,0,9,233.265397
1795,2011-01-26,58289,62,18,92,4,1,297.6
1796,2011-02-14,45173,268,20,57,0,2,1286.4
1797,2011-01-24,93246,78,31,24,0,2,41.628869
1798,2011-02-04,43758,171,16,29,0,1,1129.929433
1799,2011-02-12,75651,81,23,60,0,2,375.11129
1800,2011-02-02,0,67,13,91,0,2,321.6
1801,2011-01-13,36938,70,32,31,0,3,244.801119
1802,2011-02-27,50843,82,12,65,0,3,393.6
1803,2011-02-14,21907,62,6,47,0,3,2.96438
1804,2011-02-20,77846,119,8,45,0,1,342.471939
1805,2011-02-18,20228,101,3,43,1,2,523.815839
1806,2011-01-02,97030,76,14,24,0,2,416.637499
1807,2011-02-07,80864,182,5,30,0,1,618.210272
1808,2011-01-24,48197,106,10,61,0,6,508.8
1809,2011-01-20,70837,73,7,19,4,3,362.743231
1810,2011-01-11,85297,93,7,91,0,2,620.011594
1811,2011-01-25,70177,115,12,34,0,8,225.517666
1812,2011-02-20,52499,138,0,61,0,2,1171.537594
1813,2011-01-15,63143,71,31,85,0,3,340.8
1814,2011-02-18,97361,73,6,85,0,2,350.4
1815,2011-01-28,50052,130,6,50,0,1,624.0
1816,2011-01-05,11612,71,20,92,0,5,340.8
1817,2011-01-29,78115,65,1,12,0,4,255.454322
1818,2011-01-08,81947,71,12,78,0,2,203.993499
1819,2011-02-14,44698,211,0,88,4,1,1012.8
1820,2011-02-23,26876,66,12,53,0,2,219.209762
1821,2011-01-03,69841,192,0,66,0,7,878.812468
1822,2011-01-08,97768,72,22,14,0,2,151.843731
1823,2011-02-04,0,187,6,12,0,1,1588.682955
1824,2011-01-22,89057,98,17,90,0,2,187.363583
1825,2011-01-28,50217,74,18,2,0,9,355.2
1826,2011-02-05,0,71,3,33,0,3,697.186307
1827,2011-02-27,0,68,13,26,0,2,489.6
1828,2011-01-03,38500,99,26,49,1,1,423.286512
1829,2011-02-15,62018,71,21,0,0,1,293.865315
1830,2011-01-29,0,65,13,84,0,1,468.0
1831,2011-01-01,57394,106,8,11,0,3,316.492058
1832,2011-01-26,23530,65,22,34,0,2,312.0
1833,2011-02-22,48887,95,26,25,0,1,456.0
1834,2011-01-06,68867,129,19,91,0,1,619.2
1835,2011-01-28,12062,63,3,42,0,2,302.4
1836,2011-02-11,59230,107,11,56,0,5,245.076091
1837,2011-02-18,59586,72,6,70,0,3,91.198362
1838,2011-01-08,57506,102,24,43,0,1,615.243841
1839,2011-01-12,25134,67,3,0,0,6,321.6
1840,2011-02-08,0,61,3,58,0,5,292.8
1841,2011-02-04,0,61,19,44,0,1,292.8
1842,2011-01-14,0,100,15,96,1,1,720.0
1843,2011-01-11,44901,70,15,56,2,2,460.806124
1844,2011-01-11,0,93,21,8,0,3,149.269407
1845,2011-01-21,28463,113,0,45,2,7,324.317667
1846,2011-01-10,13037,124,28,49,0,1,839.348464
1847,2011-02-05,82320,99,4,2,1,2,475.2
1848,2011-02-23,0,104,9,58,0,7,499.2
1849,2011-02-18,78460,64,3,93,0,4,203.568733
1850,2011-01-13,0,92,26,11,4,1,657.290491
1851,2011-01-11,46922,64,34,12,0,3,403.385123
1852,2011-01-03,60689,74,29,67,0,7,5.746657
1853,2011-02-08,0,71,3,38,0,3,340.8
1854,2011-02-01,61108,89,22,93,0,2,49.451117
1855,2011-02-08,98003,107,4,46,0,7,449.408637
1856,2011-02-26,0,74,30,37,0,2,460.084192
1857,2011-02-19,22081,84,1,9,0,6,451.670309
1858,2011-02-25,83006,235,8,61,1,2,1065.049894
1859,2011-01-31,38713,66,31,69,4,6,316.8
1860,2011-01-13,28700,68,2,65,3,1,326.4
1861,2011-02-08,61552,115,1,95,0,2,12.252847
1862,2011-01-04,56718,113,7,95,1,1,542.4
1863,2011-01-10,66776,71,11,45,0,2,131.808343
1864,2011-02-04,58268,67,12,82,0,2,228.641342
1865,2011-02-08,0,68,22,43,0,1,542.016902
1866,2011-01-30,12608,66,23,72,1,3,214.866605
1867,2011-01-15,63499,73,21,79,0,1,278.964095
1868,2011-02-17,36247,96,35,29,0,7,329.522858
1869,2011-02-22,30228,73,28,44,0,5,163.345647
1870,2011-01-13,0,74,19,4,0,1,501.472124
1871,2011-01-28,0,116,3,97,0,3,1193.115879
1872,2011-01-03,99364,121,3,37,0,5,580.8
1873,2011-01-25,23665,67,19,50,0,2,404.817249
1874,2011-02-18,0,94,7,4,0,2,807.168846
1875,2011-02-09,69247,61,12,64,1,3,226.522147
1876,2011-01-28,56047,92,26,29,0,5,82.733588
1877,2011-01-22,28919,73,11,76,0,5,207.828024
1878,2011-02-22,0,70,5,29,0,4,223.174067
1879,2011-02-28,0,83,8,78,0,4,254.142365
1880,2011-02-09,69900,64,23,68,0,2,33.97
1881,2011-02-08,55687,276,33,91,0,1,1324.8
1882,2011-02-17,78294,92,6,35,0,3,181.148732
1883,2011-01-10,46896,62,9,33,1,4,31.707317
1884,2011-02-02,0,62,26,62,0,3,297.6
1885,2011-02-25,0,168,11,46,0,1,1476.670903
1886,2011-01-08,0,104,25,33,3,1,748.8
1887,2011-02-18,21385,127,14,37,0,1,609.6
1888,2011-01-22,87128,97,26,45,0,3,495.612777
1889,2011-01-21,35434,66,19,26,0,2,297.051768
1890,2011-01-17,29462,107,28,23,1,1,513.6
1891,2011-02-15,53243,102,26,96,3,2,489.6
1892,2011-01-20,21006,139,14,9,1,1,667.2
1893,2011-02-04,0,65,24,93,0,9,312.0
1894,2011-01-19,36088,72,16,31,0,9,345.6
1895,2011-01-02,28948,131,7,57,0,3,295.83086
1896,2011-01-04,24417,185,22,25,0,1,888.0
1897,2011-01-23,67099,69,11,24,0,6,22.995594
1898,2011-02-11,97830,96,3,61,0,2,298.362415
1899,2011-01-21,0,101,15,90,0,2,727.2
1900,2011-01-03,93558,67,19,5,0,1,478.234236
1901,2011-01-08,37384,99,9,17,0,1,475.2
1902,2011-01-14,28227,62,14,24,0,2,551.28213
1903,2011-01-10,51008,74,5,95,0,2,355.2
1904,2011-02-25,78185,61,23,54,0,1,292.8
1905,2011-01-30,0,74,35,2,0,3,532.8
1906,2011-01-22,0,68,34,68,0,4,670.47746
1907,2011-02-23,97205,100,22,40,2,2,5.573179
1908,2011-01-01,0,101,28,34,0,6,337.617149
1909,2011-02-18,26225,72,18,25,1,7,320.777404
1910,2011-01-25,20545,70,23,86,0,2,336.0
1911,2011-01-04,0,83,20,32,0,1,398.4
1912,2011-01-13,35503,67,14,95,0,1,216.173135
1913,2011-01-26,58988,118,3,76,0,2,566.4
1914,2011-01-20,0,74,16,89,1,2,355.2
1915,2011-02-15,0,64,21,5,0,1,685.456738
1916,2011-02-22,0,66,16,35,4,1,316.8
1917,2011-01-31,67197,111,2,9,0,2,147.948783
1918,2011-01-21,39032,198,31,15,0,7,950.4
1919,2011-01-27,0,68,19,2,3,2,326.4
1920,2011-01-23,34927,70,5,2,0,1,242.491357
1921,2011-02-18,30817,88,25,43,0,1,91.834668
1922,2011-01-12,31535,70,27,46,0,1,90.525716
1923,2011-01-03,23376,78,19,18,0,1,374.4
1924,2011-01-11,46244,62,8,3,0,2,255.285875
1925,2011-02-09,34886,84,3,40,0,5,403.2
1926,2011-02-10,0,66,27,51,0,1,316.8
1927,2011-01-06,62935,141,29,27,0,7,232.242326
1928,2011-01-18,24164,137,2,40,0,5,657.6
1929,2011-02-05,0,87,6,3,0,1,760.428495
1930,2011-02-07,0,68,20,66,1,2,326.4
1931,2011-01-01,40153,61,1,99,0,2,340.07498
1932,2011-01-29,0,104,12,7,0,3,499.2
1933,2011-02-03,97131,64,5,80,0,6,307.2
1934,2011-02-24,23712,106,2,12,0,1,508.8
1935,2011-02-04,0,64,26,72,0,2,307.2
1936,2011-02-06,33171,65,27,17,0,3,236.643695
1937,2011-02-19,0,83,18,90,1,2,398.4
1938,2011-02-27,0,68,24,73,0,1,326.4
1939,2011-01-08,60228,112,23,28,1,2,286.102971
1940,2011-02-02,27072,93,24,27,0,8,565.336931
1941,2011-01-31,26057,74,3,63,0,2,523.888845
1942,2011-01-12,66331,107,0,74,0,1,513.6
1943,2011-02-13,66030,69,33,19,1,1,282.153792
1944,2011-02-23,59768,71,6,93,1,3,340.8
1945,2011-01-12,45106,73,22,21,0,2,350.4
1946,2011-02-23,78435,130,11,19,0,4,553.61131
1947,2011-02-10,0,63,31,99,1,1,453.6
1948,2011-02-11,79507,70,7,17,3,1,442.199439
1949,2011-02-24,44986,101,14,83,0,3,624.023564
1950,2011-02-05,25899,79,10,11,0,8,568.8
1951,2011-01-29,13610,74,7,64,0,1,355.2
1952,2011-02-18,0,65,11,15,0,2,312.0
1953,2011-01-31,77362,70,14,25,0,1,386.599797
1954,2011-01-31,96443,102,1,17,0,1,489.6
1955,2011-02-03,0,135,2,41,1,1,939.528475
1956,2011-01-18,90778,76,31,29,0,7,62.291009
1957,2011-02-15,0,65,11,62,0,1,361.181122
1958,2011-01-04,78494,79,6,40,0,1,122.305677
1959,2011-01-02,83497,69,28,15,0,1,196.523187
1960,2011-01-03,58842,110,6,74,0,1,528.0
1961,2011-02-24,63935,87,20,63,0,6,221.61885
1962,2011-01-23,0,96,5,35,0,1,460.8
1963,2011-01-31,0,69,1,79,0,4,331.2
1964,2011-01-06,0,77,20,89,0,9,369.6
1965,2011-02-21,62258,65,14,17,0,5,117.450428
1966,2011-01-19,0,80,10,81,0,1,739.310493
1967,2011-02-06,58516,98,14,75,0,2,470.4
1968,2011-01-08,23285,65,30,22,0,7,118.446235
1969,2011-02-03,56901,104,29,82,0,1,499.2
1970,2011-02-14,0,61,12,75,1,2,292.8
1971,2011-02-10,99443,117,6,6,4,5,228.049424
1972,2011-01-11,0,113,4,70,0,4,373.073162
1973,2011-01-21,88246,77,3,27,1,1,428.608683
1974,2011-01-26,0,242,1,34,0,2,1742.4
1975,2011-02-03,64801,64,23,19,0,2,268.471802
1976,2011-01-16,57029,68,24,97,0,2,135.788525
1977,2011-01-04,28045,99,7,99,0,2,475.2
1978,2011-01-11,44661,101,2,1,0,1,436.836944
1979,2011-02-04,21246,83,19,51,0,1,398.4
1980,2011-02-01,31278,92,24,95,4,1,441.6
1981,2011-02-05,74454,71,25,29,0,3,340.8
1982,2011-02-01,62474,63,20,63,0,5,112.120881
1983,2011-02-13,0,130,9,43,0,2,1376.910777
1984,2011-01-16,20647,63,17,10,0,7,185.061408
1985,2011-01-20,33806,89,32,59,0,2,395.729716
1986,2011-01-20,0,70,9,96,0,2,340.201412
1987,2011-01-19,0,111,13,55,0,2,900.14526
1988,2011-01-11,19589,127,26,44,0,1,1027.010512
1989,2011-02-07,22338,67,9,37,1,9,307.801098
1990,2011-01-19,66839,154,33,24,0,1,739.2
1991,2011-01-23,99428,64,16,25,1,5,48.046869
1992,2011-02-16,31364,74,28,47,0,3,461.269135
1993,2011-01-02,15340,121,12,47,0,2,686.501976
1994,2011-01-02,36225,123,7,84,0,8,221.048602
1995,2011-02-27,0,107,18,79,0,2,271.014511
1996,2011-01-25,0,61,5,21,0,1,292.8
1997,2011-02-28,77601,71,27,48,0,6,276.640352
1998,2011-01-05,74243,84,34,2,0,2,71.311211
1999,2011-01-18,46707,133,7,9,0,8,80.70505
2000,2011-01-20,0,116,6,63,0,1,765.566699
2001,2011-02-03,50234,101,12,1,0,2,484.8
2002,2011-02-08,75526,103,26,68,1,2,494.4
2003,2011-02-04,0,193,30,38,0,7,1610.261914
2004,2011-02-03,28343,69,19,88,0,8,331.2
2005,2011-01-29,74948,64,23,43,0,8,216.744457
2006,2011-02-16,22728,116,28,81,0,1,556.8
2007,2011-01-11,0,99,14,48,2,9,712.8
2008,2011-01-19,17331,117,13,39,0,6,1138.255325
2009,2011-01-23,35133,102,2,31,0,2,692.962785
2010,2011-02-21,63147,64,1,91,0,4,87.565229
2011,2011-02-12,67575,91,27,85,0,2,401.60781
2012,2011-01-18,0,111,29,76,0,1,799.2
2013,2011-01-01,48315,71,34,56,0,2,340.8
2014,2011-01-21,34337,113,20,44,0,9,542.4
2015,2011-01-29,33818,72,6,34,4,3,341.878002
2016,2011-01-07,22439,98,30,63,0,1,470.4
2017,2011-01-15,79055,186,32,24,1,1,177.635183
2018,2011-01-15,45191,69,18,34,0,1,330.782934
2019,2011-02-07,41990,66,23,19,0,1,316.8
2020,2011-01-09,50979,61,25,45,1,1,262.842655
2021,2011-01-03,59888,106,6,14,0,3,712.682559
2022,2011-01-05,20978,98,19,96,1,1,1176.2788
2023,2011-01-30,32807,73,10,10,0,1,350.4
2024,2011-01-14,58414,210,7,24,2,1,1008.0
2025,2011-01-11,50071,71,3,32,0,1,18.918935
2026,2011-01-07,67796,69,7,24,4,8,331.2
2027,2011-02-10,90750,170,30,47,0,1,746.0459
2028,2011-01-31,0,125,6,61,0,2,900.0
2029,2011-01-07,69387,71,16,37,0,3,71.517444
2030,2011-02-26,29084,71,14,59,1,3,492.088331
2031,2011-01-03,60214,100,8,16,1,4,291.287905
2032,2011-02-10,96018,122,8,60,0,3,390.88142
2033,2011-02-10,20128,70,28,10,2,2,336.0
2034,2011-01-16,60233,116,29,63,0,2,481.265179
2035,2011-01-02,52920,93,18,95,0,3,1101.05432
2036,2011-02-09,90310,104,9,39,0,1,166.355491
2037,2011-01-14,58414,210,7,24,2,1,1008.0
2038,2011-01-22,99790,64,24,8,0,2,178.986788
2039,2011-02-05,21159,73,35,14,0,2,350.4
2040,2011-02-22,79699,65,24,12,0,1,348.82656
2041,2011-02-03,68236,114,2,75,0,6,20.725611
2042,2011-02-01,59207,116,23,21,0,2,556.8
2043,2011-01-26,21499,135,34,28,1,3,648.0
2044,2011-02-15,77563,143,35,58,0,1,545.999699
2045,2011-02-18,33415,78,15,44,0,1,374.4
2046,2011-02-26,20179,133,29,0,1,5,638.4
2047,2011-01-24,50147,101,4,37,0,3,484.8
2048,2011-01-10,22492,85,34,88,0,7,61.654262
2049,2011-02-08,0,99,25,57,5,2,475.2
2050,2011-01-30,93715,102,9,43,2,4,254.83769
2051,2011-02-04,23540,103,30,23,2,1,494.4
2052,2011-01-26,25370,102,10,77,0,2,489.6
2053,2011-02-07,68771,96,10,70,0,2,276.268778
2054,2011-01-30,0,73,35,52,3,5,350.4
2055,2011-01-28,68562,108,29,52,0,2,228.498823
2056,2011-02-27,36733,71,21,28,0,2,327.078047
2057,2011-02-28,45768,73,33,27,0,1,191.934494
2058,2011-02-25,0,64,34,47,0,7,307.2
2059,2011-02-01,63513,70,13,76,0,2,185.667213
2060,2011-02-04,58161,68,19,19,0,5,140.747286
2061,2011-01-27,83640,70,20,13,0,4,471.050488
2062,2011-01-18,0,96,2,88,0,1,28.460568
2063,2011-01-28,0,111,35,68,0,1,700.349052
2064,2011-01-29,0,104,13,29,0,1,499.2
2065,2011-01-15,0,66,8,11,0,1,3.468912
2066,2011-01-26,25820,82,10,69,0,1,393.6
2067,2011-02-20,0,121,16,64,0,1,699.615192
2068,2011-02-24,30366,101,25,13,2,3,484.8
2069,2011-01-22,51789,70,8,34,0,1,336.0
2070,2011-01-31,0,125,6,61,0,2,900.0
2071,2011-02-17,18608,71,13,24,0,1,340.8
2072,2011-01-24,83758,64,27,34,0,1,106.591949
2073,2011-01-28,22886,65,9,81,0,3,312.0
2074,2011-02-19,11828,90,18,84,0,2,571.479602
2075,2011-01-28,44762,62,14,11,0,6,114.51444
2076,2011-02-06,0,175,12,60,0,1,1221.143438
2077,2011-01-21,82664,114,24,10,3,9,133.425609
2078,2011-02-13,0,108,7,57,0,1,777.6
2079,2011-01-17,0,63,1,21,0,2,302.4
2080,2011-02-06,84978,72,12,51,1,2,166.77296
2081,2011-01-18,24164,137,2,40,0,5,657.6
2082,2011-01-08,0,80,5,10,0,8,488.910614
2083,2011-02-09,62777,67,34,32,0,1,101.288069
2084,2011-01-11,19864,63,22,96,0,1,352.394515
2085,2011-02-10,44428,104,17,61,0,2,499.2
2086,2011-02-10,21139,113,15,93,0,5,656.798232
2087,2011-01-30,0,88,4,52,0,2,851.146266
2088,2011-01-05,11896,69,29,57,0,5,476.254583
2089,2011-02-11,0,73,35,87,1,1,350.4
2090,2011-01-05,27972,61,7,38,0,1,292.8
2091,2011-02-17,0,62,26,98,0,1,624.711448
2092,2011-02-24,38399,106,12,6,0,2,368.890904
2093,2011-02-06,20868,63,19,13,0,8,134.629643
2094,2011-01-04,49682,101,30,49,0,3,198.84453
2095,2011-01-14,79090,107,2,74,0,3,289.040734
2096,2011-01-13,81850,132,1,75,0,1,429.860895
2097,2011-01-02,22906,76,17,27,0,8,519.883102
2098,2011-02-14,0,83,15,85,1,1,398.4
2099,2011-02-18,37138,83,12,1,2,9,417.28389
2100,2011-02-28,0,71,32,35,0,2,511.2
2101,2011-01-21,21024,82,32,8,1,9,450.129276
2102,2011-02-25,0,103,25,80,0,9,741.6
2103,2011-02-16,77135,84,3,37,3,8,98.372265
2104,2011-02-01,0,109,3,19,0,2,718.700718
2105,2011-02-15,0,114,3,70,0,1,820.8
2106,2011-01-08,72845,108,13,28,0,2,463.000336
2107,2011-01-18,51622,74,29,32,0,1,355.2
2108,2011-01-17,0,61,25,79,0,2,292.8
2109,2011-01-07,15616,114,20,96,1,2,547.2
2110,2011-02-08,0,82,31,25,0,8,590.4
2111,2011-01-25,23091,96,28,90,5,5,460.8
2112,2011-01-24,0,67,7,8,3,3,482.4
2113,2011-01-27,22699,74,11,76,4,2,355.2
2114,2011-01-26,14072,71,13,3,0,2,511.2
2115,2011-02-15,81713,74,0,41,0,2,332.224293
2116,2011-01-06,56516,199,26,46,0,2,955.2
2117,2011-02-18,0,73,21,31,0,3,525.6
2118,2011-02-07,26747,61,11,44,0,3,404.074203
2119,2011-01-26,63422,66,8,68,0,1,355.922452
2120,2011-02-19,22081,84,1,9,0,6,451.670309
2121,2011-01-04,0,180,14,70,0,4,1296.0
2122,2011-01-02,29698,83,17,89,2,1,215.884804
2123,2011-01-08,24518,74,23,62,0,3,241.656325
2124,2011-01-05,62873,81,0,41,0,1,207.75186
2125,2011-02-22,28377,94,26,99,0,3,451.2
2126,2011-01-22,21102,100,0,81,0,2,480.0
2127,2011-02-11,0,65,12,57,2,1,312.0
2128,2011-02-17,0,88,2,43,0,3,539.280951
2129,2011-01-29,81410,119,8,86,0,7,221.188327
2130,2011-02-06,27869,67,18,59,0,2,482.4
2131,2011-02-27,57449,103,6,28,0,2,494.4
2132,2011-01-22,40901,74,2,36,0,1,13.628274
2133,2011-02-02,88701,99,7,4,0,1,171.830049
2134,2011-01-15,29365,137,14,78,0,7,657.6
2135,2011-01-31,0,82,26,33,0,3,393.6
2136,2011-02-03,0,103,9,72,0,2,1060.310769
2137,2011-01-19,56455,73,17,5,2,8,350.4
2138,2011-01-17,35095,73,25,56,0,2,525.6
2139,2011-02-15,0,155,9,62,1,8,1116.0
2140,2011-01-28,94903,94,3,38,0,1,451.2
2141,2011-01-25,80192,67,22,24,0,7,95.193157
2142,2011-01-08,0,122,15,11,0,2,827.786203
2143,2011-01-16,60244,83,3,72,3,1,326.281835
2144,2011-02-08,52735,65,21,19,0,2,123.512596
2145,2011-01-14,78275,72,12,36,0,2,25.336642
2146,2011-01-13,77282,102,8,54,0,3,489.6
2147,2011-02-12,21604,79,14,28,0,1,379.2
2148,2011-01-29,51962,125,8,2,4,1,788.206874
2149,2011-01-26,0,68,4,67,0,9,489.6
2150,2011-02-28,56362,197,30,47,1,6,945.6
2151,2011-02-27,85753,66,23,14,1,8,316.8
2152,2011-02-01,36167,76,9,79,3,1,364.8
2153,2011-02-15,68568,223,5,28,1,6,1070.4
2154,2011-02-14,35482,129,21,59,0,3,619.2
2155,2011-02-14,92079,65,12,68,1,2,114.798771
2156,2011-01-26,0,77,0,84,0,3,554.4
2157,2011-02-05,0,165,29,6,2,1,1188.0
2158,2011-02-09,34558,113,32,24,0,1,376.529086
2159,2011-02-16,14775,69,11,44,0,5,170.939409
2160,2011-02-23,35637,68,13,11,0,9,326.4
2161,2011-02-15,66726,97,3,60,1,7,335.840529
2162,2011-02-24,0,72,29,86,0,1,345.6
2163,2011-01-17,0,96,25,71,0,6,460.8
2164,2011-02-25,79719,71,12,87,0,6,425.924132
2165,2011-01-26,25632,63,27,52,0,7,351.270869
2166,2011-02-01,61108,89,22,93,0,2,49.451117
2167,2011-01-11,0,137,34,77,0,4,657.6
2168,2011-01-27,21073,106,25,54,1,3,508.8
2169,2011-01-22,17932,79,8,38,0,2,379.2
2170,2011-01-06,81082,73,5,85,0,4,281.295903
2171,2011-01-01,71684,66,7,17,0,1,196.065149
2172,2011-01-04,57338,61,8,48,0,1,292.8
2173,2011-01-30,0,102,35,48,0,2,489.6
2174,2011-01-01,24409,62,4,13,0,1,297.6
2175,2011-02-20,83488,90,14,20,0,3,432.784577
2176,2011-01-27,0,104,29,7,0,2,773.346065
2177,2011-02-16,62537,71,19,64,1,1,354.199664
2178,2011-02-11,10621,67,28,22,0,5,321.6
2179,2011-01-01,43478,80,27,79,0,9,384.0
2180,2011-02-10,46503,215,4,21,1,1,1032.0
2181,2011-02-27,27179,66,8,91,0,9,344.201601
2182,2011-01-12,62229,70,13,26,0,5,336.0
2183,2011-01-31,0,92,34,39,1,2,441.6
2184,2011-01-27,67060,126,1,85,4,2,339.000467
2185,2011-02-01,13663,97,1,66,0,2,465.6
2186,2011-02-01,0,63,5,79,0,1,453.6
2187,2011-01-13,0,99,21,35,1,4,699.67536
2188,2011-02-13,97745,113,10,64,0,5,695.136477
2189,2011-01-26,26026,116,1,76,1,1,283.670312
2190,2011-02-24,72794,164,3,47,1,2,50.454459
2191,2011-01-19,47730,91,12,52,0,2,219.440024
2192,2011-01-19,0,122,27,2,0,1,725.870693
2193,2011-02-18,0,72,6,67,0,8,345.6
2194,2011-01-24,0,70,20,81,0,9,336.0
2195,2011-02-19,97785,73,35,36,0,2,236.614219
2196,2011-02-24,0,66,27,89,0,3,712.309237
2197,2011-02-18,30817,88,25,43,0,1,91.834668
2198,2011-01-21,64502,70,22,49,0,2,39.336222
2199,2011-01-29,30335,87,17,42,0,1,326.132867
2200,2011-02-10,21020,80,1,36,0,4,178.371281
2201,2011-01-15,84574,70,13,75,0,2,167.459769
2202,2011-02-06,0,84,26,37,0,1,700.725788
2203,2011-02-26,0,93,28,3,0,8,436.143226
2204,2011-02-19,11828,90,18,84,0,2,571.479602
2205,2011-02-05,54889,63,32,94,0,1,302.4
2206,2011-01-17,89918,105,15,72,0,9,367.230882
2207,2011-02-02,87002,110,27,30,0,2,199.851173
2208,2011-02-08,55687,276,33,91,0,1,1324.8
2209,2011-02-17,17103,87,24,29,0,2,417.6
2210,2011-01-08,0,70,17,20,5,1,702.020904
2211,2011-02-21,28441,73,10,98,0,2,686.020135
2212,2011-01-19,91212,69,9,92,0,6,270.311239
2213,2011-02-01,66325,117,10,10,0,5,497.719213
2214,2011-02-08,67895,101,25,27,4,1,403.937672
2215,2011-01-18,29550,114,16,70,1,1,118.750512
2216,2011-01-02,10275,97,10,8,0,1,465.6
2217,2011-02-19,61725,106,7,70,0,6,508.8
2218,2011-01-10,28215,65,15,26,0,3,468.0
2219,2011-01-19,10563,121,20,10,0,2,109.814874
2220,2011-02-13,0,62,10,97,0,3,722.432062
2221,2011-01-09,99722,61,6,48,0,2,292.8
2222,2011-01-24,16224,93,13,55,0,9,498.452698
2223,2011-01-19,72096,64,24,92,0,5,252.330905
2224,2011-02-11,63800,113,9,43,0,4,542.4
2225,2011-02-08,55687,276,33,91,0,1,1324.8
2226,2011-02-09,0,89,6,49,1,3,640.8
2227,2011-01-02,0,61,8,91,0,1,351.85681
2228,2011-01-03,29598,87,2,70,0,2,150.926696
2229,2011-01-10,22907,180,13,86,2,1,49.18776
